iter	Passed	Remaining
0	3	729
1	6	673
2	10	657
3	13	643
4	16	644
5	19	639
6	22	628
7	25	620
8	28	610
9	31	603
10	34	597
11	38	605
12	42	606
13	45	600
14	48	595
15	51	593
16	54	591
17	58	589
18	61	584
19	64	578
20	67	574
21	70	569
22	73	564
23	76	562
24	80	560
25	83	555
26	86	553
27	90	553
28	93	551
29	97	551
30	101	551
31	104	548
32	107	544
33	110	541
34	114	541
35	117	537
36	120	532
37	124	529
38	127	524
39	130	520
40	133	517
41	136	515
42	140	512
43	143	509
44	146	505
45	150	503
46	153	500
47	156	497
48	159	492
49	163	489
50	166	485
51	169	481
52	172	478
53	175	474
54	178	471
55	181	467
56	185	465
57	189	464
58	193	461
59	196	459
60	200	457
61	204	454
62	207	450
63	210	447
64	213	443
65	216	440
66	219	436
67	222	432
68	225	428
69	228	425
70	232	421
71	235	418
72	238	414
73	241	411
74	244	408
75	248	405
76	251	401
77	254	398
78	257	394
79	260	390
80	263	387
81	266	384
82	270	381
83	273	377
84	276	374
85	279	370
86	282	367
87	286	364
88	289	361
89	292	358
90	296	355
91	300	352
92	303	349
93	306	346
94	309	342
95	313	339
96	316	335
97	319	332
98	322	328
99	325	325
100	329	322
101	332	319
102	335	316
103	338	312
104	342	309
105	345	306
106	348	303
107	352	300
108	355	296
109	358	293
110	361	289
111	364	286
112	367	283
113	370	279
114	373	276
115	376	272
116	380	269
117	384	267
118	387	263
119	391	261
120	394	257
121	398	254
122	402	252
123	405	248
124	409	245
125	412	242
126	415	238
127	417	235
128	421	231
129	424	228
130	427	225
131	430	221
132	434	218
133	437	215
134	440	212
135	444	208
136	447	205
137	450	202
138	453	198
139	456	195
140	459	192
141	462	189
142	466	185
143	469	182
144	472	179
145	475	176
146	479	172
147	482	169
148	485	166
149	488	162
150	492	159
151	495	156
152	499	153
153	502	150
154	506	146
155	509	143
156	512	140
157	515	136
158	518	133
159	521	130
160	524	127
161	528	123
162	531	120
163	534	117
164	537	114
165	541	110
166	544	107
167	547	104
168	550	100
169	553	97
170	556	94
171	559	91
172	562	87
173	565	84
174	568	81
175	570	77
176	573	74
177	576	71
178	579	67
179	582	64
180	585	61
181	587	58
182	590	54
183	594	51
184	597	48
185	600	45
186	603	41
187	606	38
188	609	35
189	612	32
190	616	29
191	619	25
192	622	22
193	625	19
194	629	16
195	632	12
196	635	9
197	638	6
198	642	3
199	645	0
