iter	Passed	Remaining
0	1	353
1	3	346
2	4	322
3	6	315
4	8	321
5	9	318
6	11	320
7	13	313
8	14	310
9	16	306
10	17	301
11	19	303
12	20	298
13	22	295
14	23	294
15	25	292
16	27	293
17	28	290
18	30	287
19	31	286
20	33	283
21	34	282
22	36	279
23	37	277
24	39	277
25	41	275
26	43	275
27	44	274
28	46	273
29	48	273
30	49	271
31	51	270
32	53	269
33	55	269
34	56	267
35	58	266
36	60	265
37	61	263
38	63	262
39	65	260
40	66	258
41	68	256
42	69	254
43	71	254
44	73	252
45	75	251
46	76	249
47	78	248
48	79	246
49	81	244
50	83	242
51	84	241
52	86	239
53	87	237
54	89	235
55	90	233
56	92	231
57	93	230
58	95	228
59	97	226
60	98	225
61	100	223
62	101	221
63	103	220
64	105	218
65	106	217
66	108	215
67	109	213
68	111	212
69	113	210
70	114	208
71	116	206
72	117	204
73	119	202
74	120	201
75	122	199
76	123	197
77	125	195
78	126	194
79	128	192
80	129	190
81	131	189
82	133	188
83	135	186
84	136	184
85	137	182
86	139	181
87	140	179
88	142	177
89	143	175
90	145	174
91	147	172
92	148	170
93	149	169
94	151	167
95	153	166
96	154	164
97	156	162
98	157	161
99	159	159
100	160	157
101	162	156
102	164	154
103	165	153
104	167	151
105	168	149
106	170	148
107	172	146
108	173	145
109	175	143
110	176	141
111	178	140
112	179	138
113	181	136
114	182	135
115	184	133
116	185	131
117	187	130
118	188	128
119	190	127
120	192	125
121	193	123
122	195	122
123	196	120
124	198	119
125	199	117
126	201	115
127	202	114
128	204	112
129	206	111
130	208	109
131	209	108
132	211	106
133	212	104
134	214	103
135	215	101
136	217	99
137	218	98
138	220	96
139	222	95
140	223	93
141	224	91
142	226	90
143	228	88
144	229	87
145	231	85
146	232	83
147	234	82
148	235	80
149	237	79
150	239	77
151	240	75
152	242	74
153	243	72
154	245	71
155	246	69
156	248	67
157	249	66
158	251	64
159	252	63
160	254	61
161	255	60
162	257	58
163	258	56
164	260	55
165	261	53
166	263	51
167	264	50
168	266	48
169	267	47
170	269	45
171	270	44
172	272	42
173	273	40
174	274	39
175	275	37
176	277	36
177	278	34
178	279	32
179	281	31
180	282	29
181	283	28
182	285	26
183	286	24
184	287	23
185	289	21
186	290	20
187	292	18
188	294	17
189	295	15
190	297	14
191	298	12
192	300	10
193	302	9
194	303	7
195	305	6
196	306	4
197	308	3
198	310	1
199	311	0
