iter	Logloss
0	0.6719317052
1	0.6522414363
2	0.6388063842
3	0.6197705907
4	0.6018112065
5	0.5839267876
6	0.5667533784
7	0.5502627144
8	0.5393267778
9	0.5279395694
10	0.5130974534
11	0.4986977768
12	0.4847039783
13	0.4700546754
14	0.4565119543
15	0.4441109233
16	0.4315668341
17	0.41958429
18	0.4085396074
19	0.3974230808
20	0.3869409834
21	0.3770271532
22	0.3722319748
23	0.3626355564
24	0.3534083374
25	0.3448474577
26	0.3364175233
27	0.3281498384
28	0.3189190067
29	0.3112609592
30	0.3041160114
31	0.298917385
32	0.2920814251
33	0.2854169171
34	0.2789619433
35	0.2726666572
36	0.2666236253
37	0.2609078521
38	0.2579832328
39	0.2545727927
40	0.2492862512
41	0.2445562883
42	0.2415643238
43	0.2367877992
44	0.2322995611
45	0.2278485944
46	0.2256342535
47	0.2214332623
48	0.2177812924
49	0.2139684843
50	0.2110621741
51	0.2072665959
52	0.2046458459
53	0.2012261063
54	0.1979116393
55	0.1960734572
56	0.1925237603
57	0.1893702648
58	0.1860835155
59	0.1831188706
60	0.1805275164
61	0.1779602996
62	0.1764764032
63	0.1738839458
64	0.1714621703
65	0.1681909766
66	0.165934064
67	0.1635119023
68	0.1613359193
69	0.1593263524
70	0.1578903662
71	0.1558905807
72	0.1535245178
73	0.1516995544
74	0.1498588155
75	0.1481448902
76	0.1462552457
77	0.1441213505
78	0.1426141706
79	0.1409163154
80	0.1390486031
81	0.137509959
82	0.1360280755
83	0.1343046403
84	0.1327894539
85	0.1324116303
86	0.1310417046
87	0.1299141622
88	0.1282015626
89	0.1269176715
90	0.1258775467
91	0.1247292081
92	0.1233875878
93	0.1219223715
94	0.1204582549
95	0.1195698762
96	0.1186106789
97	0.11773673
98	0.116789289
99	0.115489074
