iter	Passed	Remaining
0	4	977
1	9	905
2	13	895
3	17	848
4	20	816
5	24	802
6	28	799
7	32	791
8	36	785
9	40	775
10	44	767
11	48	758
12	52	753
13	57	758
14	60	750
15	64	744
16	68	740
17	72	735
18	77	733
19	81	730
20	85	728
21	90	728
22	94	725
23	98	725
24	102	720
25	107	716
26	110	710
27	114	704
28	118	698
29	122	694
30	127	693
31	131	688
32	134	682
33	138	676
34	142	673
35	147	671
36	153	674
37	157	671
38	162	669
39	166	666
40	171	666
41	176	665
42	180	659
43	186	661
44	191	658
45	195	655
46	200	652
47	204	648
48	208	643
49	213	640
50	217	635
51	222	631
52	226	627
53	231	625
54	234	619
55	238	614
56	243	610
57	247	605
58	251	600
59	254	594
60	258	588
61	262	583
62	265	577
63	269	572
64	272	566
65	276	561
66	280	555
67	283	550
68	287	545
69	290	540
70	294	535
71	298	530
72	301	525
73	305	520
74	310	516
75	313	512
76	317	507
77	321	503
78	325	498
79	329	494
80	333	490
81	337	486
82	341	481
83	345	477
84	349	472
85	352	467
86	356	462
87	360	458
88	363	453
89	366	448
90	370	443
91	374	439
92	378	435
93	382	431
94	386	426
95	389	422
96	393	418
97	397	414
98	401	409
99	405	405
100	410	401
101	414	398
102	418	394
103	422	390
104	427	386
105	431	382
106	437	380
107	442	376
108	446	372
109	451	369
110	455	364
111	459	361
112	464	357
113	469	353
114	474	350
115	479	347
116	484	343
117	489	340
118	494	336
119	499	332
120	502	328
121	506	324
122	510	319
123	514	315
124	517	310
125	521	306
126	525	301
127	528	297
128	532	292
129	535	288
130	538	283
131	541	279
132	544	274
133	548	270
134	552	266
135	555	261
136	559	257
137	562	252
138	565	248
139	569	243
140	573	239
141	576	235
142	580	231
143	583	226
144	587	222
145	590	218
146	594	214
147	597	209
148	601	205
149	604	201
150	608	197
151	611	193
152	614	188
153	618	184
154	621	180
155	625	176
156	628	172
157	631	167
158	635	163
159	638	159
160	641	155
161	645	151
162	649	147
163	652	143
164	656	139
165	660	135
166	663	131
167	667	127
168	672	123
169	676	119
170	681	115
171	684	111
172	688	107
173	691	103
174	694	99
175	697	95
176	699	90
177	703	86
178	706	82
179	709	78
180	712	74
181	715	70
182	719	66
183	723	62
184	726	58
185	729	54
186	732	50
187	736	46
188	740	43
189	744	39
190	747	35
191	751	31
192	755	27
193	758	23
194	762	19
195	765	15
196	769	11
197	772	7
198	776	3
199	779	0
